Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2011,," PypeŒHayesŒRoad,ŒPypeŒHayes,ŒB'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,," PypeŒHayesŒRoad,ŒPypeŒHayes,ŒB'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,," PypeŒHayesŒRoad,ŒPypeŒHayes,ŒB'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,,queenŒstreet,queen street,
2011,,queenŒstreet,queen street,
2011,,queenŒstreet,queen street,
2011,,queenŒstreet,queen street,
2011,,QueenŒStreetŒSuttonŒColdfieldŒTownŒcentre,Queen Street Sutton Coldfield Town centre,
2011,,QueslettŒRoadŒEast,Queslett Road East,
2011,,REDACREŒRDŒBOLDMERE,REDACRE RD BOLDMERE,
2011,,RESERVOIRŒROAD,RESERVOIR ROAD,
2011,,Ridgeway,Ridgeway,
2011,," SladeŒRoad,ŒErdington,ŒB'ham"," Slade Road, Erdington, B'ham",
2011,," SladeŒRoad,ŒErdington,ŒB'ham"," Slade Road, Erdington, B'ham",
2011,," SothŒparade,ŒSuttonŒColdfield"," Soth parade, Sutton Coldfield",
2011,," SothŒparade,ŒSuttonŒColdfield"," Soth parade, Sutton Coldfield",
2011,,southŒparade,south parade,
2011,,SOUTHŒPARADE,SOUTH PARADE,
2011,,SOUTHŒPARADE,SOUTH PARADE,
2011,,SouthŒParade,South Parade,
2011,,SouthŒParade,South Parade,
2011,,SouthŒParade,South Parade,
2011,,SouthŒParade,South Parade,
2011,,SOUTHŒPARADE,SOUTH PARADE,
2011,,SouthŒParade,South Parade,
2011,,southŒparade,south parade,
2011,,southŒparade,south parade,
2011,,SouthŒParade,South Parade,
2011,," SouthŒParadeŒ‰óŒtownŒcentre,ŒSuttonŒColdfield"," South Parade ‰ó town centre, Sutton Coldfield",
2011,,SouthŒParadeŒSuttonŒColdfield,South Parade Sutton Coldfield,
2011,,SouthŒparadeŒSuttonŒColdfield,South parade Sutton Coldfield,
2011,,SouthŒParadeŒSuttonŒTownŒcentre,South Parade Sutton Town centre,
2011,," SouthŒParade,ŒSuttonŒColdfield"," South Parade, Sutton Coldfield",
2011,," SouthŒParade,ŒSuttonŒColdfield"," South Parade, Sutton Coldfield",
2011,," SouthŒparade,ŒSuttonŒColdfield"," South parade, Sutton Coldfield",
2011,," SouthŒParade,ŒSuttonŒColdfield"," South Parade, Sutton Coldfield",
2011,," SouthŒparade,ŒSuttonŒColdfield"," South parade, Sutton Coldfield",
2011,," SouthŒParade,ŒSuttonŒColdfield"," South Parade, Sutton Coldfield",
2011,," SouthŒparade,ŒSuttonŒColdfield"," South parade, Sutton Coldfield",
2011,," SouthŒParade,ŒSuttonŒColdfield"," South Parade, Sutton Coldfield",
2011,," SouthŒParade,ŒSuttonŒColdfield"," South Parade, Sutton Coldfield",
2011,," SouthŒParade,ŒSuttonŒColdfield"," South Parade, Sutton Coldfield",
2011,," SouthŒparade,ŒSuttonŒColdfield"," South parade, Sutton Coldfield",
2011,," SouthŒparade,ŒSuttonŒTownŒCentre"," South parade, Sutton Town Centre",
2011,," SouthŒParade,ŒTownŒCentre,ŒSuttonŒColdfield"," South Parade, Town Centre, Sutton Coldfield",
2011,,STORNAWAYŒROADŒCASTLEŒVALE,STORNAWAY ROAD CASTLE VALE,
2011,,STREETLEYŒROADŒERDINGTON,STREETLEY ROAD ERDINGTON,
2011,,sumburghŒcroft,sumburgh croft,
2011,,SuttonŒColdfieldŒTownŒCentre,Sutton Coldfield Town Centre,
2011,,SuttonŒColdfieldŒTownŒCentre,Sutton Coldfield Town Centre,
2011,,SuttonŒNewŒRoad,Sutton New Road,
2011,,SuttonŒNewŒRoadŒErdington,Sutton New Road Erdington,
2011,,SUTTONŒNEWŒROADŒERDINGTON,SUTTON NEW ROAD ERDINGTON,
2011,,SUTTONŒNEWŒROADŒERDINGTON,SUTTON NEW ROAD ERDINGTON,
2011,," SuttonŒNewŒRoad,ŒErdington,ŒB'ham"," Sutton New Road, Erdington, B'ham",
2011,,SuttonŒParade,Sutton Parade,
2011,,SUTTONŒPARADE,SUTTON PARADE,
2011,,SuttonŒParade,Sutton Parade,
2011,,SuttonŒTownŒcentre,Sutton Town centre,
2011,,suttonŒtownŒcentre,sutton town centre,
2011,,suttonŒtownŒcentre,sutton town centre,
2011,,suttonŒtownŒcentre,sutton town centre,
2011,,SuttonŒTownŒCentre,Sutton Town Centre,
2011,,tedburyŒcrescent,tedbury crescent,
2011,," Tesco'sŒExpress,ŒWalsallŒRoad,ŒFourŒOaks,ŒSuttonŒColdfield"," Tesco's Express, Walsall Road, Four Oaks, Sutton Coldfield",
2011,,TheŒParade,The Parade,
2011,,TheŒParade,The Parade,
2011,,TheŒParade,The Parade,
2011,,theŒparadeŒsutton,the parade sutton,
2011,,THEŒPARADEŒSUTTONŒCOLDFIELD,THE PARADE SUTTON COLDFIELD,
2011,," TheŒParade,ŒBirminghamŒRoad,ŒSuttonŒColdfield"," The Parade, Birmingham Road, Sutton Coldfield",
2011,," TheŒParade,ŒSuttonŒColdfield"," The Parade, Sutton Coldfield",
2011,," TheŒParade,ŒSuttonŒColdfield"," The Parade, Sutton Coldfield",
2011,," TheŒParade,ŒSuttonŒColdfield"," The Parade, Sutton Coldfield",
2011,," TheŒParade,ŒSuttonŒColdfield"," The Parade, Sutton Coldfield",
2011,," TheŒParade,ŒSuttonŒColdfield"," The Parade, Sutton Coldfield",
2011,," TheŒParade,ŒSuttonŒColdfield"," The Parade, Sutton Coldfield",
2011,," TheŒParade,ŒSuttonŒTownŒCentre"," The Parade, Sutton Town Centre",
2011,,theŒparade....,the parade....,
2011,,THEŒRIDGEWAY,THE RIDGEWAY,
2011,,TheŒRidgeway,The Ridgeway,
2011,,TheŒRidgeway,The Ridgeway,
2011,,TheŒSwanŒPH,The Swan PH,
2011,,turnhouseŒroad,turnhouse road,
2011,,UpperŒHollandŒRoad,Upper Holland Road,
2011,,VictoriaŒRd,Victoria Rd,
2011,,VictoriaŒRd,Victoria Rd,
2011,,victoriaŒrd,victoria rd,
2011,," WalshŒDrive,ŒWalmley,ŒSuttonŒColdfield"," Walsh Drive, Walmley, Sutton Coldfield",
2011,,WarrenŒFarmŒRd,Warren Farm Rd,
2011,,WarrenŒFarmŒRoad,Warren Farm Road,
2011,,whitehouseŒcommonŒrd,whitehouse common rd,
2011,,wiltonŒRd,wilton Rd,
2011,," WindsorŒHouse,ŒJarvisŒRoad,ŒErdington"," Windsor House, Jarvis Road, Erdington",
2011,,WittonŒLodgeŒRoad,Witton Lodge Road,
2011,," WittonŒlodgeŒRoad,Œerdington"," Witton lodge Road, erdington",
2011,,YorkŒRoad,York Road,
2011,,AbdonŒAve,Abdon Ave,
2011,,AlcesterŒRoadŒSouth,Alcester Road South,
2011,,alvechurchŒrd,alvechurch rd,
2011,,ardenŒroad,arden road,
2011,,ardencoteŒfroad,ardencote froad,
2011,,AshleyŒClose,Ashley Close,
2011,,baltiŒspiceŒBristolŒrdŒSouth,balti spice Bristol rd South,
2011,,BarnesŒHill,Barnes Hill,
2011,,BarrowŒHouse,Barrow House,
2011,,BellŒStreet,Bell Street,
2011,,BirminghamŒNewŒStreet,Birmingham New Street,
2011,,BirminghamŒNewŒStreet,Birmingham New Street,
2011,,BirminghamŒNewŒStreet,Birmingham New Street,
2011,," BirminghamŒStreet,ŒOldbury"," Birmingham Street, Oldbury",
2011,,BlandfordŒRoad,Blandford Road,
2011,,BournbrookŒRoad,Bournbrook Road,
2011,,BournvilleŒFrontŒOffice,Bournville Front Office,
2011,,bournvilleŒfrontŒoffice,bournville front office,
2011,,bournvilleŒlane,bournville lane,
2011,,BournvilleŒLane,Bournville Lane,
2011,,BournvilleŒlaneŒfrontŒoffice,Bournville lane front office,
2011,,bowlingŒgreenŒroad,bowling green road,
2011,,BristolŒRd,Bristol Rd,
2011,,bristolŒrd,bristol rd,
2011,,bristolŒrd,bristol rd,
2011,,bristolŒrd,bristol rd,
2011,,bristolŒrdŒsellyŒoak,bristol rd selly oak,
2011,,bristolŒrdŒsouth,bristol rd south,
2011,,bristolŒrdŒsouth,bristol rd south,
2011,,bristolŒrdŒsth,bristol rd sth,
2011,," BristolŒRd,ŒNorthfield"," Bristol Rd, Northfield",
2011,," BristolŒRd,ŒSellyŒOak"," Bristol Rd, Selly Oak",
2011,,BristolŒRoad,Bristol Road,
2011,,BristolŒRoad,Bristol Road,
2011,,BristolŒRoad,Bristol Road,
2011,,BristolŒRoad,Bristol Road,
2011,,BristolŒRoad,Bristol Road,
2011,,BristolŒRoad,Bristol Road,
2011,,bristolŒroad,bristol road,
2011,,bristolŒroad,bristol road,
2011,,BristolŒRoad,Bristol Road,
2011,,bristolŒroad,bristol road,
2011,,bristolŒroad,bristol road,
2011,,bristolŒroad,bristol road,
2011,,bristolŒroad,bristol road,
2011,,BristolŒRoad,Bristol Road,
2011,,BristolŒRoadŒNorthfield,Bristol Road Northfield,
2011,,bristolŒroadŒsellyŒoak,bristol road selly oak,
2011,,BristolŒRoadŒsellyŒOak,Bristol Road selly Oak,
2011,,bristolŒroadŒsellyŒoak,bristol road selly oak,
2011,," BristolŒRoadŒSouth,ŒNorthfield"," Bristol Road South, Northfield",
2011,," BristolŒRoadŒSouth,ŒSellyŒOak"," Bristol Road South, Selly Oak",
2011,," BristolŒRoad,ŒSellyŒOak"," Bristol Road, Selly Oak",
2011,," BristolŒRoad,ŒSellyŒOak"," Bristol Road, Selly Oak",
2011,," BristolŒRoad,ŒSellyŒOak"," Bristol Road, Selly Oak",
2011,,broadŒstreet,broad street,
2011,,broadŒstreet,broad street,
2011,,broadŒstreet,broad street,
2011,," BroadŒStreet,ŒCityŒCentre"," Broad Street, City Centre",
2011,," BroadŒStreet,ŒCityŒCentre"," Broad Street, City Centre",
2011,,BrookŒlane,Brook lane,
2011,,bunburryŒroad,bunburry road,
2011,,bunburryŒroad,bunburry road,
2011,," BurnhillŒGroveŒ,WeoleyŒCastleŒ,Birmingham."," Burnhill Grove ,Weoley Castle ,Birmingham.",
2011,,CarŒParkŒofŒBournvilleŒlaneŒP/Stn,Car Park of Bournville lane P/Stn,
2011,," chinbrookŒroad,Œbillsley"," chinbrook road, billsley",
2011,,churchŒhillŒnortthfield,church hill nortthfield,
2011,,ChurchŒRoad,Church Road,
2011,," ComptonŒRoad,ŒCradleyŒHeath"," Compton Road, Cradley Heath",
2011,," Costcutters,ŒArdernŒRoad"," Costcutters, Ardern Road",
2011,,dawberryŒroad,dawberry road,
2011,,DawlishŒRoad,Dawlish Road,
2011,,dingleŒclub,dingle club,
2011,,doddingtonŒroad,doddington road,
2011,,DogŒKennelŒLane,Dog Kennel Lane,
2011,,dogŒpoolŒlane,dog pool lane,
2011,,downfieldŒdrive,downfield drive,
2011,,DudleyŒbusŒstation,Dudley bus station,
2011,,DwellingsŒLane,Dwellings Lane,
2011,,EAFO,EAFO,
2011,,EdgbastonŒCricketŒGround,Edgbaston Cricket Ground,
2011,,edgbastonŒparkŒroad,edgbaston park road,
2011,,ExeterŒRdŒ/ŒHubertŒRd,Exeter Rd / Hubert Rd,
2011,,fordhouseŒlane,fordhouse lane,
2011,," FourŒACresŒ,Quinton."," Four ACres ,Quinton.",
2011,," FrogmillŒRoad,ŒFrankley"," Frogmill Road, Frankley",
2011,,gennersŒlane,genners lane,
2011,,GlastonburyŒRoad,Glastonbury Road,
2011,,greatŒparkŒrubery,great park rubery,
2011,,GriffinsŒBrookŒLane,Griffins Brook Lane,
2011,,GrosvenorŒShoppingŒCentre,Grosvenor Shopping Centre,
2011,,hagleyŒRoad,hagley Road,
2011,,hagleyŒroad,hagley road,
2011,,hagleyŒroad,hagley road,
2011,,HagleyŒRoad,Hagley Road,
2011,,hagleyŒroad,hagley road,
2011,,HagleyŒRoad,Hagley Road,
2011,,HagleyŒRoad,Hagley Road,
2011,,HagleyŒRoad,Hagley Road,
2011,,HagleyŒRoad,Hagley Road,
2011,," HagleyŒRoad,ŒEdgbaston"," Hagley Road, Edgbaston",
2011,," HagleyŒRoad,ŒEedgbaston"," Hagley Road, Eedgbaston",
2011,,HarborneŒCricketŒclub,Harborne Cricket club,
2011,,HarborneŒhighŒst,Harborne high st,
2011,,HarborneŒHighŒStreet,Harborne High Street,
2011,,HarborneŒHighŒStreet,Harborne High Street,
2011,,HarborneŒHighŒstreet,Harborne High street,
2011,,HarborneŒParkŒRoad,Harborne Park Road,
2011,,HarborneŒPoliceŒStation,Harborne Police Station,
2011,,HarbourneŒcricketŒclub,Harbourne cricket club,
2011,,HawkesleyŒEnd,Hawkesley End,
2011,,HawkesleyŒSquare,Hawkesley Square,
2011,,HazelwellŒStreet,Hazelwell Street,
2011,,heathmillŒlaneŒdigbeth,heathmill lane digbeth,
2011,,heronsŒwood,herons wood,
2011,,HighŒSt,High St,
2011,,HighŒStŒHarborne,High St Harborne,
2011,,highŒstŒharborne,high st harborne,
2011,,highŒstŒnorthfield,high st northfield,
2011,,HighŒStreetŒharborne,High Street harborne,
2011,,HighŒStreetŒHarborne,High Street Harborne,
2011,,highŒstreetŒharborne,high street harborne,
2011,,highŒstreetŒharborne,high street harborne,
2011,,highŒstreetŒharbourne,high street harbourne,
2011,," HighŒStreet,ŒHarborne"," High Street, Harborne",
2011,," HighŒStreet,ŒHarborne"," High Street, Harborne",
2011,,HighfdieldŒLane,Highfdield Lane,
2011,,highfieldŒlane,highfield lane,
2011,," HighfieldŒLane,ŒQuinton"," Highfield Lane, Quinton",
2011,," HoggsŒLane,ŒNorthfield"," Hoggs Lane, Northfield",
2011,,HollybankŒRoad,Hollybank Road,
2011,," HolywoodŒBowl,ŒRubery"," Holywood Bowl, Rubery",
2011,,HomeŒaddress,Home address,
2011,," HonningtonŒCrescent,ŒNorthfield"," Honnington Crescent, Northfield",
2011,,jigginsŒlane,jiggins lane,
2011,," JigginsŒLane,ŒBartleyŒGreen"," Jiggins Lane, Bartley Green",
2011,,kembertoneŒroad,kembertone road,
2011,,KingsŒNortonŒGreen,Kings Norton Green,
2011,,leechŒgreenŒrd,leech green rd,
2011,,leithŒgrove,leith grove,
2011,,leithŒgrove,leith grove,
2011,,LongŒFellowŒRoad,Long Fellow Road,
2011,,LongbridgeŒLane,Longbridge Lane,
2011,,LongbridgeŒLane,Longbridge Lane,
2011,," LongbridgeŒLane,ŒWestŒheath"," Longbridge Lane, West heath",
2011,,longhamŒcroft,longham croft,
2011,,LottieŒRoad,Lottie Road,
2011,,lutleyŒgrove,lutley grove,
2011,," MalinsŒRoad,ŒHarborne"," Malins Road, Harborne",
2011,,mandervilleŒhouse,manderville house,
2011,," MarjoramŒClose,ŒHawksley"," Marjoram Close, Hawksley",
2011,,MasshouseŒLane,Masshouse Lane,
2011,,MasshouseŒLane,Masshouse Lane,
2011,,maypoleŒlane,maypole lane,
2011,,merrittsŒhill,merritts hill,
2011,,metchleyŒlane,metchley lane,
2011,,moatŒroad,moat road,
2011,," MounbattenŒHouse,ŒWyndhamŒRoad"," Mounbatten House, Wyndham Road",
2011,,NEWŒSTREETŒBR,NEW STREET BR,
2011,,newŒstreetŒstation,new street station,
2011,,NortbŒWorcesterŒGolfŒClub,Nortb Worcester Golf Club,
2011,," NorthŒStreet,ŒHarborne"," North Street, Harborne",
2011,," NorthŒStreet,ŒHarborne"," North Street, Harborne",
2011,,NorthfieldŒHighŒStreet,Northfield High Street,
2011,,NorthfieldŒHighŒStreet.,Northfield High Street.,
2011,,oakridgeŒroadŒnorthfield,oakridge road northfield,
2011,,OddingleyŒroad,Oddingley road,
2011,," OddingleyŒRoad,ŒWestŒheath"," Oddingley Road, West heath",
2011,," ParadiseŒForumŒ,Birmingham."," Paradise Forum ,Birmingham.",
2011,,parsonsŒhill,parsons hill,
2011,,pershoreŒroad,pershore road,
2011,,pershoreŒroad,pershore road,
2011,,pershoreŒroad,pershore road,
2011,,pershoreŒroad,pershore road,
2011,,pershoreŒroad,pershore road,
2011,,PershoreŒRoad,Pershore Road,
2011,,PershoreŒRoad,Pershore Road,
2011,,pershoreŒroad,pershore road,
2011,,pershoreŒroad,pershore road,
2011,,pershoreŒroad,pershore road,
2011,,pershoreŒroad,pershore road,
2011,," PershoreŒRoadŒSouth,ŒKingsŒNorton"," Pershore Road South, Kings Norton",
2011,," PooleŒCrescent,ŒHarborne"," Poole Crescent, Harborne",
2011,,poplarŒavenue,poplar avenue,
2011,,PortlandsŒRoad,Portlands Road,
2011,,PrincethorpeŒRoad,Princethorpe Road,
2011,,QEŒCasualty,QE Casualty,
2011,,qeŒhospital,qe hospital,
2011,,QEŒHospital,QE Hospital,
2011,,qualityŒhotel,quality hotel,
2011,,QueenŒElizabethŒHospital,Queen Elizabeth Hospital,
2011,,RaddlebarnŒRoad,Raddlebarn Road,
2011,,richmondŒhillŒroad,richmond hill road,
2011,,RichmondŒRoad,Richmond Road,
2011,,RoseŒRoad,Rose Road,
2011,," RoseŒRoad,ŒHarborne"," Rose Road, Harborne",
2011,," Sainsburys,ŒFrankleyŒBeechesŒRd,ŒNorthfield"," Sainsburys, Frankley Beeches Rd, Northfield",
2011,,selcroftŒave,selcroft ave,
2011,," ShannonŒRd,ŒKingsŒNorton"," Shannon Rd, Kings Norton",
2011,,shawbrookŒgrove,shawbrook grove,
2011,,shellŒforecourtŒbristolŒrd,shell forecourt bristol rd,
2011,," SirŒHiltonsŒRoad,ŒWestŒHeath"," Sir Hiltons Road, West Heath",
2011,,SnaxŒ24Œforcourt.,Snax 24 forcourt.,
2011,,SolihullŒHighŒStreet,Solihull High Street,
2011,,SolihullŒHighŒStreet.ŒOutsideŒRosies.,Solihull High Street. Outside Rosies.,
2011,,stanleyŒroadŒquinton,stanley road quinton,
2011,," StoneŒroad,ŒEdgbaston"," Stone road, Edgbaston",
2011,,stonehouseŒlane,stonehouse lane,
2011,," StratfordŒRoadŒ,SparkbrookŒ,Birmingham."," Stratford Road ,Sparkbrook ,Birmingham.",
2011,,TheŒFold,The Fold,
2011,," TheŒFold,ŒKingsŒNorton"," The Fold, Kings Norton",
2011,,TheŒJesterŒPH,The Jester PH,
2011,," TheŒParadeŒQueensway,ŒCityŒŒCentre."," The Parade Queensway, City  Centre.",
2011,," TheŒRoyalŒOakŒPublicŒHouse,ŒPershoreŒRoad"," The Royal Oak Public House, Pershore Road",
2011,,ThreeŒHorshoesŒPH,Three Horshoes PH,
2011,,ThreeŒShiresŒOakŒRoad,Three Shires Oak Road,
2011,,ThreeŒshiresŒRoad,Three shires Road,
2011,,trescotteŒroad,trescotte road,
2011,,turvesŒgreen,turves green,
2011,,unknown,unknown,
2011,,valbourneŒroadŒkingsŒheath,valbourne road kings heath,
2011,," VicarageŒRoad,ŒKingsŒheath"," Vicarage Road, Kings heath",
2011,," VineyardŒRoad,ŒNorthfield"," Vineyard Road, Northfield",
2011,,warŒlane,war lane,
2011,," WatfordŒRd,ŒCotteridge"," Watford Rd, Cotteridge",
2011,,weollyŒcastleŒroad,weolly castle road,
2011,,WestminsterŒRoad,Westminster Road,
2011,,WolverhamptonŒStreet,Wolverhampton Street,
2011,," WoodhouseŒRoad,ŒQuinton"," Woodhouse Road, Quinton",
2011,,WoodmeadowŒRoad,Woodmeadow Road,
2011,,worldsŒendŒlane,worlds end lane,
2011,,worldsŒendŒlane,worlds end lane,
2011,," WorldsŒEndŒLane,Quinton"," Worlds End Lane,Quinton",
2011,," WorldsŒEndŒLane,Quinton"," Worlds End Lane,Quinton",
2011,,AcardianŒCentre,Acardian Centre,
2011,,AdderleyŒRoad,Adderley Road,
2011,,AirŒNightŒClub,Air Night Club,
2011,," AlbertŒRoad,ŒHandsworth,ŒBirmingham"," Albert Road, Handsworth, Birmingham",
2011,," ArcadiaŒCentre,ŒBirminghamŒcityŒcentre"," Arcadia Centre, Birmingham city centre",
2011,,arcadian,arcadian,
2011,,Arcadian,Arcadian,
2011,,ArcadianŒBirminghamŒCityŒCentre,Arcadian Birmingham City Centre,
2011,," ArcadianŒcenter,ŒBirmingham"," Arcadian center, Birmingham",
2011,,ArcadianŒCentre,Arcadian Centre,
2011,,ArcadianŒcentre,Arcadian centre,
2011,,ArcadianŒcentre,Arcadian centre,
2011,,ArcadianŒCentre,Arcadian Centre,
2011,,ArcadianŒCentre,Arcadian Centre,
2011,,arcadianŒcentre,arcadian centre,
2011,,ArcadianŒCentre,Arcadian Centre,
2011,,ArcadianŒCentre,Arcadian Centre,
2011,,arcadianŒcentre,arcadian centre,
2011,,arcadianŒcentre,arcadian centre,
2011,,ArcadianŒCentre,Arcadian Centre,
2011,,ArcadianŒCentre,Arcadian Centre,
2011,,arcadianŒcentre,arcadian centre,
2011,,ArcadianŒCentre,Arcadian Centre,
2011,,arcadianŒcentreŒbham,arcadian centre bham,
2011,," ArcadianŒCentre,ŒBirmingham"," Arcadian Centre, Birmingham",
2011,," ArcadianŒCentre,ŒBirminghamŒCityŒCentre"," Arcadian Centre, Birmingham City Centre",
2011,," ArcadianŒCentre,ŒLadywellŒWalk"," Arcadian Centre, Ladywell Walk",
2011,," ArcadianŒCentre,ŒLadywellŒWalk"," Arcadian Centre, Ladywell Walk",
2011,," ArcadianŒEntertainmentŒCentre,ŒBirmingham"," Arcadian Entertainment Centre, Birmingham",
2011,," Arcadian,ŒCityŒCentre."," Arcadian, City Centre.",
2011,," Arcadian,ŒHurstŒStreet"," Arcadian, Hurst Street",
2011,,astonŒhotel`,aston hotel`,
2011,,AstonŒPoliceŒStation,Aston Police Station,
2011,,astonŒvillaŒfootballŒground,aston villa football ground,
2011,,attenboroughŒclose,attenborough close,
2011,," awayŒfansŒcoachŒpark,ŒŒbhamŒcfc"," away fans coach park,  bham cfc",
2011,,awayŒsupportersŒentranceŒbcfc,away supporters entrance bcfc,
2011,,BarŒRisa,Bar Risa,
2011,," BathŒRow,ŒBirmingham"," Bath Row, Birmingham",
2011,," BathŒStreet,CityŒcentre"," Bath Street,City centre",
2011,,BCFCŒŒhomeŒfansŒcarŒaprke,BCFC  home fans car aprke,
2011,,BCFCŒground,BCFC ground,
2011,,BCFCŒTiltonŒRoadŒentrance,BCFC Tilton Road entrance,
2011,,berkeleyŒstreet,berkeley street,
2011,,BerkeleyŒStreet,Berkeley Street,
2011,,BerkleyŒstreet,Berkley street,
2011,,B'hamŒNewŒStreetŒStation,B'ham New Street Station,
2011,," BigŒBite,ŒBroadŒStreet"," Big Bite, Broad Street",
2011,," BIGWOKŒRestaurant,ŒBirmingham"," BIGWOK Restaurant, Birmingham",
2011,," BirchfieldŒroad,ŒŒperryŒbarr"," Birchfield road,  perry barr",
2011,," BirchfieldŒRoad,ŒBirmingham"," Birchfield Road, Birmingham",
2011,," BirchfieldŒRoad,ŒCityŒCentre"," Birchfield Road, City Centre",
2011,,BirchfiledŒRoad,Birchfiled Road,
2011,,BirminghamŒCityŒFCŒ‰óŒCoachŒPark,Birmingham City FC ‰ó Coach Park,
2011,,BirminghamŒMagistratesŒCourt.,Birmingham Magistrates Court.,
2011,,BirminghamŒNewŒSt,Birmingham New St,
2011,,BirminghamŒNewŒStreetŒStation,Birmingham New Street Station,
2011,," BirminghamŒNewŒStreet,"," Birmingham New Street,",
2011,,BishopgateŒstreetŒ@ŒjunctionŒofŒBroadŒstreet.,Bishopgate street @ junction of Broad street.,
2011,," BishopgateŒStreet,ŒCityŒCentre"," Bishopgate Street, City Centre",
2011,,bishopsgateŒstreet,bishopsgate street,
2011,," BlissŒBar,ŒBroadŒStreet"," Bliss Bar, Broad Street",
2011,," BlissŒNightclub,ŒBroadŒSt,ŒBirmingham"," Bliss Nightclub, Broad St, Birmingham",
2011,," BlissŒnightclub,ŒBroadŒSt."," Bliss nightclub, Broad St.",
2011,," Bliss,ŒBroadŒSt."," Bliss, Broad St.",
2011,,BordesleyŒGreen,Bordesley Green,
2011,,BordesleyŒGreenŒrd,Bordesley Green rd,
2011,," BradfordŒSt,ŒBirmingham"," Bradford St, Birmingham",
2011,," BraodŒStreet,ŒCityŒCentre"," Braod Street, City Centre",
2011,," BraodŒStreet,ŒCityŒCentre"," Braod Street, City Centre",
2011,," BraodŒStreet,ŒCityŒCentre"," Braod Street, City Centre",
2011,," BraodŒStreet,ŒCityŒCentre"," Braod Street, City Centre",
2011,," BraodŒStreet,ŒCityŒCentre"," Braod Street, City Centre",
2011,," BraodŒStreet,ŒCityŒCentre"," Braod Street, City Centre",
2011,,BriarŒRoseŒPHŒBennettsŒHill,Briar Rose PH Bennetts Hill,
2011,,brightonŒarmsŒPH,brighton arms PH,
2011,," BristolŒRoad,ŒBirmingham"," Bristol Road, Birmingham",
2011,," BristolŒRoad,ŒEdgbaston"," Bristol Road, Edgbaston",
2011,," BristolŒSt,ŒBirminghamŒCityŒCentre"," Bristol St, Birmingham City Centre",
2011,,BristolŒStreet,Bristol Street,
2011,,BristolŒStreet,Bristol Street,
2011,,BristolŒStreetŒSouth,Bristol Street South,
2011,,BristolŒStreetŒSouth,Bristol Street South,
2011,,brittaniaŒhotel,brittania hotel,
2011,,BroadŒSt,Broad St,
2011,,BroadŒSt,Broad St,
2011,,broadŒst,broad st,
2011,,BroadŒSt,Broad St,
2011,,broadŒst,broad st,
2011,,broadŒst,broad st,
2011,,broadŒst,broad st,
2011,,BroadŒSt,Broad St,
2011,,BroadŒSt,Broad St,
2011,,BroadŒSt,Broad St,
2011,," BroadŒStŒ@ŒGasŒStreet,ŒCityŒCentre"," Broad St @ Gas Street, City Centre",
